NumOfWords,NumOfChar,NumOfPunc,NumOfContPunc,NumOfContUpperCase,Bi-freq,un-freq,tri-freq,Label
16,88,0,0,0,10,6,12,0
14,92,0,0,0,14,8,18,1
9,63,1,0,0,10,6,12,0
12,86,0,0,1,10,6,12,1
11,65,0,0,2,12,7,15,0
8,43,2,0,0,8,5,9,1
5,27,0,0,0,8,5,9,1
11,72,1,0,0,10,6,12,1
11,66,1,0,0,10,6,12,1
5,41,0,0,0,2,2,1,1
11,69,1,0,0,6,4,6,1
17,93,0,0,1,6,4,6,0
12,83,0,0,1,10,6,12,1
9,60,1,0,0,8,5,9,0
10,60,0,0,1,6,4,6,0
12,77,0,0,0,10,6,12,0
10,66,0,0,0,8,5,9,1
10,56,0,0,0,6,4,6,0
11,68,1,0,0,6,4,6,0
12,71,1,0,0,8,5,9,1
9,70,0,0,0,6,4,6,0
10,54,0,0,1,8,5,9,0
6,34,0,0,0,2,2,1,1
10,70,0,0,0,6,4,6,0
14,82,3,0,3,12,7,15,1
10,77,0,0,0,12,7,15,1
13,80,0,0,0,12,7,15,0
9,58,0,0,0,12,7,15,0
11,73,0,0,0,6,4,6,0
9,55,0,0,1,10,6,12,1
14,89,0,0,0,8,5,9,1
7,41,0,0,0,4,3,3,1
9,64,0,0,0,6,4,6,0
12,76,1,0,0,8,5,9,1
14,73,1,0,0,10,6,12,1
12,75,0,0,1,10,6,12,0
8,43,0,0,0,4,3,3,0
6,41,0,0,0,4,3,3,1
11,74,1,0,0,8,5,9,0
8,49,0,0,1,4,3,3,0
14,98,2,0,2,14,8,18,1
12,72,1,0,0,14,8,18,1
11,67,0,0,0,8,5,9,1
12,66,2,0,2,16,9,21,1
10,63,1,0,0,8,5,9,1
20,115,2,0,0,14,8,18,1
16,77,0,0,0,6,4,6,1
13,74,0,0,1,12,7,15,0
8,60,0,0,0,8,5,9,0
5,28,0,0,0,4,3,3,1
8,47,0,0,0,4,3,3,0
11,79,0,0,0,14,8,18,1
8,59,0,0,0,6,4,6,1
8,57,0,0,0,8,5,9,0
11,77,2,0,1,8,5,9,1
11,70,1,0,0,12,7,15,0
9,69,1,0,0,6,4,6,0
11,65,1,0,1,4,3,3,0
19,121,1,0,1,10,6,12,1
11,75,1,0,0,4,3,3,1
8,49,0,0,0,4,3,3,1
18,110,1,0,4,8,5,9,1
8,56,1,0,0,4,3,3,1
14,76,0,0,0,4,3,3,1
11,59,0,0,0,4,3,3,0
6,49,0,0,0,10,6,12,1
10,72,1,0,0,6,4,6,1
11,68,0,0,1,6,4,6,0
1,14,0,0,0,1,1,1,1
10,56,0,0,1,8,5,9,1
14,81,0,0,2,10,6,12,0
11,72,0,0,0,1,1,1,0
9,64,0,0,0,2,2,1,1
12,88,0,0,0,8,5,9,1
19,100,1,0,0,6,4,6,1
9,60,0,0,0,6,4,6,1
11,63,0,0,0,8,5,9,0
8,52,0,0,0,4,3,3,1
3,28,0,0,0,2,2,1,0
11,64,0,0,1,10,6,12,1
4,39,0,0,0,1,1,1,1
9,59,1,0,1,4,3,3,0
10,55,0,0,0,6,4,6,1
13,82,0,0,1,12,7,15,1
15,95,0,0,0,16,9,21,1
8,45,0,0,0,4,3,3,1
8,57,0,0,0,4,3,3,1
